RCA;Asphalt;Additive;TR;HD;WC;OD;GW;SM;AC;EU;CA;NCA;RE;EC;FFD
0;4;0.25;10;0;4;5148;24467;997;154;13261;178;1260;11776;38090;46170
0;4;0.25;10;50;1;3191;15180;622;96;8247;112;791;7307;23876;28743
0;4;0.25;10;50;2;3843;18276;747;115;9919;134;948;8797;28614;34552
0;4;0.25;10;50;3;4495;21371;872;135;11590;156;1104;10287;33352;40361
0;4;0.25;10;50;4;5148;24467;997;154;13261;178;1260;11776;38090;46170
0;4;0.25;10;100;1;3191;15180;622;96;8247;112;791;7307;23876;28743
0;4;0.25;10;100;2;3843;18276;747;115;9919;134;948;8797;28614;34552
0;4;0.25;10;100;3;4495;21371;872;135;11590;156;1104;10287;33352;40361
0;4;0.25;10;100;4;5148;24467;997;154;13261;178;1260;11776;38090;46170
0;4;0.25;10;150;1;3191;15180;622;96;8247;112;791;7307;23876;28743
0;4;0.25;10;150;2;3843;18276;747;115;9919;134;948;8797;28614;34552
0;4;0.25;10;150;3;4495;21371;872;135;11590;156;1104;10287;33352;40361
0;4;0.25;10;150;4;5148;24467;997;154;13261;178;1260;11776;38090;46170
0;4;0.25;20;0;1;2984;14196;582;89;7717;105;742;6834;22371;26898
0;4;0.25;20;0;2;3631;17271;706;109;9376;127;897;8314;27076;32667
0;4;0.25;20;0;3;4279;20346;830;128;11036;149;1052;9793;31782;38436
0;4;0.25;20;0;4;4927;23420;954;148;12696;171;1207;11272;36487;44205
0;4;0.25;20;50;1;2984;14196;582;89;7717;105;742;6834;22371;26898
0;4;0.25;20;50;2;3631;17271;706;109;9376;127;897;8314;27076;32667
0;4;0.25;20;50;3;4279;20346;830;128;11036;149;1052;9793;31782;38436
0;4;0.25;20;50;4;4927;23420;954;148;12696;171;1207;11272;36487;44205
0;4;0.25;20;100;1;2984;14196;582;89;7717;105;742;6834;22371;26898
0;4;0.25;20;100;2;3631;17271;706;109;9376;127;897;8314;27076;32667
0;4;0.25;20;100;3;4279;20346;830;128;11036;149;1052;9793;31782;38436
0;4;0.25;20;100;4;4927;23420;954;148;12696;171;1207;11272;36487;44205
0;4;0.25;20;150;1;2984;14196;582;89;7717;105;742;6834;22371;26898
0;4;0.25;20;150;2;3631;17271;706;109;9376;127;897;8314;27076;32667
0;4;0.25;20;150;3;4279;20346;830;128;11036;149;1052;9793;31782;38436
0;4;0.25;20;150;4;4927;23420;954;148;12696;171;1207;11272;36487;44205
0;4;0.25;30;0;1;2776;13213;542;83;7186;98;692;6361;20866;25053
0;4;0.25;30;0;2;3420;16266;666;103;8834;120;846;7830;25539;30782
0;4;0.25;30;0;3;4063;19320;789;122;10482;141;1000;9299;30212;36511
0;4;0.25;30;0;4;4706;22373;912;141;12131;163;1154;10768;34885;42240
0;4;0.25;30;50;1;2776;13213;542;83;7186;98;692;6361;20866;25053
0;4;0.25;30;50;2;3420;16266;666;103;8834;120;846;7830;25539;30782
0;4;0.25;30;50;3;4063;19320;789;122;10482;141;1000;9299;30212;36511
0;4;0.25;30;50;4;4706;22373;912;141;12131;163;1154;10768;34885;42240
0;4;0.25;30;100;1;2776;13213;542;83;7186;98;692;6361;20866;25053
0;4;0.25;30;100;2;3420;16266;666;103;8834;120;846;7830;25539;30782
0;4;0.25;30;100;3;4063;19320;789;122;10482;141;1000;9299;30212;36511
0;4;0.25;30;100;4;4706;22373;912;141;12131;163;1154;10768;34885;42240
0;4;0.25;30;150;1;2776;13213;542;83;7186;98;692;6361;20866;25053
0;4;0.25;30;150;2;3420;16266;666;103;8834;120;846;7830;25539;30782
0;4;0.25;30;150;3;4063;19320;789;122;10482;141;1000;9299;30212;36511
0;4;0.25;30;150;4;4706;22373;912;141;12131;163;1154;10768;34885;42240
0;4;0.25;40;0;1;2569;12230;503;77;6655;91;643;5888;19361;23208
0;4;0.25;40;0;2;3208;15262;625;96;8292;112;796;7347;24002;28897
0;4;0.25;40;0;3;3847;18294;747;115;9929;134;949;8806;28642;34587
0;4;0.25;40;0;4;4486;21326;870;134;11565;156;1101;10265;33282;40276
0;4;0.25;40;50;1;2569;12230;503;77;6655;91;643;5888;19361;23208
0;4;0.25;40;50;2;3208;15262;625;96;8292;112;796;7347;24002;28897
0;4;0.25;40;50;3;3847;18294;747;115;9929;134;949;8806;28642;34587
0;4;0.25;40;50;4;4486;21326;870;134;11565;156;1101;10265;33282;40276
0;4;0.25;40;100;1;2569;12230;503;77;6655;91;643;5888;19361;23208
0;4;0.25;40;100;2;3208;15262;625;96;8292;112;796;7347;24002;28897
0;4;0.25;40;100;3;3847;18294;747;115;9929;134;949;8806;28642;34587
0;4;0.25;40;100;4;4486;21326;870;134;11565;156;1101;10265;33282;40276
0;4;0.25;40;150;1;2569;12230;503;77;6655;91;643;5888;19361;23208
0;4;0.25;40;150;2;3208;15262;625;96;8292;112;796;7347;24002;28897
0;4;0.25;40;150;3;3847;18294;747;115;9929;134;949;8806;28642;34587
0;4;0.25;40;150;4;4486;21326;870;134;11565;156;1101;10265;33282;40276
0;4;0.35;10;0;1;3191;15180;622;96;8248;112;791;7308;23877;28743
0;4;0.35;10;0;2;3843;18276;747;115;9920;134;948;8797;28615;34552
0;4;0.35;10;0;3;4495;21372;872;135;11591;156;1104;10287;33353;40361
0;4;0.35;10;0;4;5148;24468;997;154;13262;178;1260;11776;38091;46170
0;4;0.35;10;50;1;3191;15180;622;96;8248;112;791;7308;23877;28743
0;4;0.35;10;50;2;3843;18276;747;115;9920;134;948;8797;28615;34552
0;4;0.35;10;50;3;4495;21372;872;135;11591;156;1104;10287;33353;40361
0;4;0.35;10;50;4;5148;24468;997;154;13262;178;1260;11776;38091;46170
0;4;0.35;10;100;1;3191;15180;622;96;8248;112;791;7308;23877;28743
0;4;0.35;10;100;2;3843;18276;747;115;9920;134;948;8797;28615;34552
0;4;0.35;10;100;3;4495;21372;872;135;11591;156;1104;10287;33353;40361
0;4;0.35;10;100;4;5148;24468;997;154;13262;178;1260;11776;38091;46170
0;4;0.35;10;150;1;3191;15180;622;96;8248;112;791;7308;23877;28743
0;4;0.35;10;150;2;3843;18276;747;115;9920;134;948;8797;28615;34552
0;4;0.35;10;150;3;4495;21372;872;135;11591;156;1104;10287;33353;40361
0;4;0.35;10;150;4;5148;24468;997;154;13262;178;1260;11776;38091;46170
0;4;0.35;20;0;1;2984;14197;582;89;7717;105;742;6834;22372;26898
0;4;0.35;20;0;2;3631;17271;706;109;9377;127;897;8314;27078;32667
0;4;0.35;20;0;3;4279;20346;830;128;11037;149;1052;9793;31783;38436
0;4;0.35;20;0;4;4927;23420;954;148;12697;171;1207;11272;36488;44205
0;4;0.35;20;50;1;2984;14197;582;89;7717;105;742;6834;22372;26898
0;4;0.35;20;50;2;3631;17271;706;109;9377;127;897;8314;27078;32667
0;4;0.35;20;50;3;4279;20346;830;128;11037;149;1052;9793;31783;38436
0;4;0.35;20;50;4;4927;23420;954;148;12697;171;1207;11272;36488;44205
0;4;0.35;20;100;1;2984;14197;582;89;7717;105;742;6834;22372;26898
0;4;0.35;20;100;2;3631;17271;706;109;9377;127;897;8314;27078;32667
0;4;0.35;20;100;3;4279;20346;830;128;11037;149;1052;9793;31783;38436
0;4;0.35;20;100;4;4927;23420;954;148;12697;171;1207;11272;36488;44205
0;4;0.35;20;150;1;2984;14197;582;89;7717;105;742;6834;22372;26898
0;4;0.35;20;150;2;3631;17271;706;109;9377;127;897;8314;27078;32667
0;4;0.35;20;150;3;4279;20346;830;128;11037;149;1052;9793;31783;38436
0;4;0.35;20;150;4;4927;23420;954;148;12697;171;1207;11272;36488;44205
0;4;0.35;30;0;1;2776;13213;542;83;7187;98;692;6361;20867;25053
0;4;0.35;30;0;2;3420;16267;666;103;8835;120;846;7830;25540;30782
0;4;0.35;30;0;3;4063;19320;789;122;10483;141;1000;9300;30213;36511
0;4;0.35;30;0;4;4706;22373;912;141;12132;163;1154;10769;34886;42240
0;4;0.35;30;50;1;2776;13213;542;83;7187;98;692;6361;20867;25053
0;4;0.35;30;50;2;3420;16267;666;103;8835;120;846;7830;25540;30782
0;4;0.35;30;50;3;4063;19320;789;122;10483;141;1000;9300;30213;36511
0;4;0.35;30;50;4;4706;22373;912;141;12132;163;1154;10769;34886;42240
0;4;0.35;30;100;1;2776;13213;542;83;7187;98;692;6361;20867;25053
0;4;0.35;30;100;2;3420;16267;666;103;8835;120;846;7830;25540;30782
0;4;0.35;30;100;3;4063;19320;789;122;10483;141;1000;9300;30213;36511
0;4;0.35;30;100;4;4706;22373;912;141;12132;163;1154;10769;34886;42240
0;4;0.35;30;150;1;2776;13213;542;83;7187;98;692;6361;20867;25053
0;4;0.35;30;150;2;3420;16267;666;103;8835;120;846;7830;25540;30782
0;4;0.35;30;150;3;4063;19320;789;122;10483;141;1000;9300;30213;36511
0;4;0.35;30;150;4;4706;22373;912;141;12132;163;1154;10769;34886;42240
0;4;0.35;40;0;1;2569;12230;503;77;6656;91;643;5888;19363;23208
0;4;0.35;40;0;2;3208;15262;625;96;8293;112;796;7347;24003;28898
0;4;0.35;40;0;3;3847;18294;747;115;9929;134;949;8806;28643;34587
0;4;0.35;40;0;4;4486;21326;870;134;11566;156;1101;10265;33283;40276
0;4;0.35;40;50;1;2569;12230;503;77;6656;91;643;5888;19363;23208
0;4;0.35;40;50;2;3208;15262;625;96;8293;112;796;7347;24003;28898
0;4;0.35;40;50;3;3847;18294;747;115;9929;134;949;8806;28643;34587
0;4;0.35;40;50;4;4486;21326;870;134;11566;156;1101;10265;33283;40276
0;4;0.35;40;100;1;2569;12230;503;77;6656;91;643;5888;19363;23208
0;4;0.35;40;100;2;3208;15262;625;96;8293;112;796;7347;24003;28898
0;4;0.35;40;100;3;3847;18294;747;115;9929;134;949;8806;28643;34587
0;4;0.35;40;100;4;4486;21326;870;134;11566;156;1101;10265;33283;40276
0;4;0.35;40;150;1;2569;12230;503;77;6656;91;643;5888;19363;23208
0;4;0.35;40;150;2;3208;15262;625;96;8293;112;796;7347;24003;28898
0;4;0.35;40;150;3;3847;18294;747;115;9929;134;949;8806;28643;34587
0;4;0.35;40;150;4;4486;21326;870;134;11566;156;1101;10265;33283;40276
0;4;0.45;10;0;1;3191;15180;622;96;8249;112;791;7308;23878;28743
0;4;0.45;10;0;2;3843;18276;747;115;9920;134;948;8797;28616;34552
0;4;0.45;10;0;3;4495;21372;872;135;11592;156;1104;10287;33354;40361
0;4;0.45;10;0;4;5148;24468;997;154;13263;178;1260;11776;38092;46170
0;4;0.45;10;50;1;3191;15180;622;96;8249;112;791;7308;23878;28743
0;4;0.45;10;50;2;3843;18276;747;115;9920;134;948;8797;28616;34552
0;4;0.45;10;50;3;4495;21372;872;135;11592;156;1104;10287;33354;40361
0;4;0.45;10;50;4;5148;24468;997;154;13263;178;1260;11776;38092;46170
0;4;0.45;10;100;1;3191;15180;622;96;8249;112;791;7308;23878;28743
0;4;0.45;10;100;2;3843;18276;747;115;9920;134;948;8797;28616;34552
